Date,Adj Close,Close,High,Low,Open,Volume,Dividends,Stock Splits,collection_date,period,granularity
2023-08-16 00:00:00-04:00,,,,,,0,0.68,0.0,2024-08-18,1y,1d
2023-08-17 00:00:00-04:00,314.51922607421875,316.8800048828125,321.8699951171875,316.2099914550781,320.5400085449219,21257200,0.0,0.0,2024-08-18,1y,1d
2023-08-18 00:00:00-04:00,314.1221618652344,316.4800109863281,318.3800048828125,311.54998779296875,314.489990234375,24744800,0.0,0.0,2024-08-18,1y,1d
2023-08-21 00:00:00-04:00,319.4819641113281,321.8800048828125,322.7699890136719,317.0400085449219,317.92999267578125,24040000,0.0,0.0,2024-08-18,1y,1d
2023-08-22 00:00:00-04:00,320.0576171875,322.4599914550781,326.0799865722656,321.4599914550781,325.5,16102000,0.0,0.0,2024-08-18,1y,1d
2023-08-23 00:00:00-04:00,324.5638122558594,327.0,329.20001220703125,323.4599914550781,323.82000732421875,21166400,0.0,0.0,2024-08-18,1y,1d
2023-08-24 00:00:00-04:00,317.586181640625,319.9700012207031,332.9800109863281,319.9599914550781,332.8500061035156,23281400,0.0,0.0,2024-08-18,1y,1d
2023-08-25 00:00:00-04:00,320.57373046875,322.9800109863281,325.3599853515625,318.79998779296875,321.4700012207031,21684100,0.0,0.0,2024-08-18,1y,1d
2023-08-28 00:00:00-04:00,321.28839111328125,323.70001220703125,326.1499938964844,321.7200012207031,325.6600036621094,14808500,0.0,0.0,2024-08-18,1y,1d
2023-08-29 00:00:00-04:00,325.96331787109375,328.4100036621094,328.9800109863281,321.8800048828125,321.8800048828125,19284600,0.0,0.0,2024-08-18,1y,1d
2023-08-30 00:00:00-04:00,326.3404541015625,328.7900085449219,329.80999755859375,326.45001220703125,328.6700134277344,15222100,0.0,0.0,2024-08-18,1y,1d
2023-08-31 00:00:00-04:00,325.31817626953125,327.760009765625,330.9100036621094,326.7799987792969,329.20001220703125,26411000,0.0,0.0,2024-08-18,1y,1d
2023-09-01 00:00:00-04:00,326.2114562988281,328.6600036621094,331.989990234375,326.7799987792969,331.30999755859375,14931200,0.0,0.0,2024-08-18,1y,1d
2023-09-05 00:00:00-04:00,331.06500244140625,333.54998779296875,334.8500061035156,328.6600036621094,329.0,18553900,0.0,0.0,2024-08-18,1y,1d
2023-09-06 00:00:00-04:00,330.4000244140625,332.8800048828125,334.4599914550781,330.17999267578125,333.3800048828125,17535800,0.0,0.0,2024-08-18,1y,1d
2023-09-07 00:00:00-04:00,327.4521179199219,329.9100036621094,333.0799865722656,329.0299987792969,331.2900085449219,18381000,0.0,0.0,2024-08-18,1y,1d
2023-09-08 00:00:00-04:00,331.77960205078125,334.2699890136719,336.1600036621094,329.4599914550781,330.0899963378906,19530100,0.0,0.0,2024-08-18,1y,1d
2023-09-11 00:00:00-04:00,335.4223327636719,337.94000244140625,338.4200134277344,335.42999267578125,337.239990234375,16583300,0.0,0.0,2024-08-18,1y,1d
2023-09-12 00:00:00-04:00,329.2982482910156,331.7699890136719,336.7900085449219,331.4800109863281,335.82000732421875,17565500,0.0,0.0,2024-08-18,1y,1d
2023-09-13 00:00:00-04:00,333.5563049316406,336.05999755859375,336.8500061035156,331.1700134277344,331.30999755859375,16544400,0.0,0.0,2024-08-18,1y,1d
2023-09-14 00:00:00-04:00,336.1766357421875,338.70001220703125,340.8599853515625,336.57000732421875,339.1499938964844,20267000,0.0,0.0,2024-08-18,1y,1d
